epoch,lr-SGD,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,,,
0,,350,,,,,0.6244000196456909,1.7728981971740723
0,,350,,,0.3574830889701843,3.1002683639526367,,
,0.0009990143508499217,351,,,,,,
1,,701,,,,,0.7193999886512756,1.1310505867004395
1,,701,,,0.6798655390739441,1.449440360069275,,
,0.0009960612933065818,702,,,,,,
2,,1052,,,,,0.7516000270843506,0.9298266768455505
2,,1052,,,0.7341746687889099,1.0734243392944336,,
,0.00099115248173898,1053,,,,,,
3,,1403,,,,,0.7728000283241272,0.8322200179100037
3,,1403,,,0.7612624764442444,0.9156206250190735,,
,0.0009843072889837512,1404,,,,,,
4,,1754,,,,,0.7785999774932861,0.7769975066184998
4,,1754,,,0.7785345315933228,0.8245099186897278,,
,0.0009755527298894294,1755,,,,,,
5,,2105,,,,,0.7851999998092651,0.7358037829399109
5,,2105,,,0.7907095551490784,0.7661870718002319,,
,0.0009649233547011816,2106,,,,,,
6,,2456,,,,,0.7925999760627747,0.7108011841773987
6,,2456,,,0.798121452331543,0.7247599363327026,,
,0.0009524611127067769,2457,,,,,,
7,,2807,,,,,0.7964000105857849,0.686604917049408
7,,2807,,,0.8060229420661926,0.6912656426429749,,
,0.0009382151866819099,2808,,,,,,
8,,3158,,,,,0.7968000173568726,0.6730738878250122
8,,3158,,,0.812166154384613,0.6657897233963013,,
,0.0009222417987882566,3159,,,,,,
9,,3509,,,,,0.796999990940094,0.6618965268135071
9,,3509,,,0.8196225166320801,0.6388388872146606,,
,0.0009046039886902864,3510,,,,,,
10,,3860,,,,,0.801800012588501,0.6506030559539795
10,,3860,,,0.8221598863601685,0.6219000816345215,,
,0.0008853713647665069,3861,,,,,,
11,,4211,,,,,0.8069999814033508,0.6413321495056152
11,,4211,,,0.82723468542099,0.6052876710891724,,
,0.0008646198293969952,4212,,,,,,
12,,4562,,,,,0.8069999814033508,0.6347386240959167
12,,4562,,,0.8308181762695312,0.5906325578689575,,
,0.0008424312794113801,4563,,,,,,
13,,4913,,,,,0.8058000206947327,0.6285766363143921
13,,4913,,,0.8334445953369141,0.5795577764511108,,
,0.0008188932828794706,4914,,,,,,
14,,5264,,,,,0.8087999820709229,0.6242713928222656
14,,5264,,,0.8360042572021484,0.5678252577781677,,
,0.0007940987335200906,5265,,,,,,
15,,5615,,,,,0.8112000226974487,0.6208654046058655
15,,5615,,,0.8374510407447815,0.5597894191741943,,
,0.0007681454840920089,5616,,,,,,
16,,5966,,,,,0.8094000220298767,0.615226686000824
16,,5966,,,0.8414129018783569,0.5506523847579956,,
,0.0007411359602138069,5967,,,,,,
17,,6317,,,,,0.8123999834060669,0.6098101735115051
17,,6317,,,0.8418135643005371,0.5420670509338379,,
,0.0007131767561367538,6318,,,,,,
18,,6668,,,,,0.8123999834060669,0.6086986064910889
18,,6668,,,0.8447738885879517,0.5339590907096863,,
,0.0006843782140659967,6669,,,,,,
19,,7019,,,,,0.8130000233650208,0.6069982051849365
19,,7019,,,0.8459535241127014,0.5277146100997925,,
,0.0006548539886902863,7020,,,,,,
20,,7370,,,,,0.8133999705314636,0.6031676530838013
20,,7370,,,0.8500267267227173,0.519684910774231,,
,0.0006247205986388449,7371,,,,,,
21,,7721,,,,,0.8148000240325928,0.5993421077728271
21,,7721,,,0.8501157164573669,0.5149465203285217,,
,0.0005940969666355696,7722,,,,,,
22,,8072,,,,,0.8113999962806702,0.5970657467842102
22,,8072,,,0.8516070246696472,0.5081822276115417,,
,0.0005631039501653701,8073,,,,,,
23,,8423,,,,,0.8159999847412109,0.5968482494354248
23,,8423,,,0.8525418639183044,0.5059018135070801,,
,0.0005318638645048921,8424,,,,,,
24,,8774,,,,,0.8154000043869019,0.5963490605354309
24,,8774,,,0.8531427979469299,0.5014252662658691,,
,0.0005005,8775,,,,,,
25,,9125,,,,,0.8149999976158142,0.5936717987060547
25,,9125,,,0.8539218306541443,0.4960670471191406,,
,0.00046913613549510796,9126,,,,,,
26,,9476,,,,,0.8166000247001648,0.593039333820343
26,,9476,,,0.855479896068573,0.4949742555618286,,
,0.00043789604983463003,9477,,,,,,
27,,9827,,,,,0.8162000179290771,0.5918785929679871
27,,9827,,,0.8570156693458557,0.4884011447429657,,
,0.00040690303336443054,9828,,,,,,
28,,10178,,,,,0.8158000111579895,0.5909014940261841
28,,10178,,,0.8578392267227173,0.48720601201057434,,
,0.000376279401361155,10179,,,,,,
29,,10529,,,,,0.8159999847412109,0.5896729230880737
29,,10529,,,0.8576611280441284,0.4857209324836731,,
,0.00034614601130971394,10530,,,,,,
30,,10880,,,,,0.8180000185966492,0.587997317314148
30,,10880,,,0.8592414259910583,0.48343414068222046,,
,0.00031662178593400354,10881,,,,,,
31,,11231,,,,,0.817799985408783,0.5880459547042847
31,,11231,,,0.8591969609260559,0.47973427176475525,,
,0.00028782324386324626,11232,,,,,,
32,,11582,,,,,0.8199999928474426,0.5871013402938843
32,,11582,,,0.8609775900840759,0.4772384464740753,,
,0.00025986403978619317,11583,,,,,,
33,,11933,,,,,0.8151999711990356,0.5875809788703918
33,,11933,,,0.8610443472862244,0.4750938415527344,,
,0.00023285451590799105,11934,,,,,,
34,,12284,,,,,0.8169999718666077,0.586894690990448
34,,12284,,,0.8618010878562927,0.47425577044487,,
,0.0002069012664799097,12285,,,,,,
35,,12635,,,,,0.8202000260353088,0.5850622057914734
35,,12635,,,0.8607327342033386,0.47238633036613464,,
,0.00018210671712052946,12636,,,,,,
36,,12986,,,,,0.8185999989509583,0.5854249596595764
36,,12986,,,0.8631365895271301,0.46974217891693115,,
,0.00015856872058861996,12987,,,,,,
37,,13337,,,,,0.8199999928474426,0.5852380990982056
37,,13337,,,0.8621572256088257,0.4695441424846649,,
,0.00013638017060300502,13338,,,,,,
38,,13688,,,,,0.8187999725341797,0.5841475129127502
38,,13688,,,0.8629584908485413,0.4690008759498596,,
,0.0001156286352334933,13689,,,,,,
39,,14039,,,,,0.819599986076355,0.5843331813812256
39,,14039,,,0.8622239828109741,0.4689963459968567,,
,9.639601130971378e-05,14040,,,,,,
40,,14390,,,,,0.8198000192642212,0.5839338302612305
40,,14390,,,0.8616452813148499,0.4681223928928375,,
,7.875820121174356e-05,14391,,,,,,
41,,14741,,,,,0.8191999793052673,0.5839617848396301
41,,14741,,,0.8639378547668457,0.46730276942253113,,
,6.278481331809012e-05,14742,,,,,,
42,,15092,,,,,0.8190000057220459,0.5841561555862427
42,,15092,,,0.8636040091514587,0.4668419659137726,,
,4.853888729322332e-05,15093,,,,,,
43,,15443,,,,,0.8190000057220459,0.5839762687683105
43,,15443,,,0.86451655626297,0.4660622477531433,,
,3.607664529881844e-05,15444,,,,,,
44,,15794,,,,,0.8185999989509583,0.5837736129760742
44,,15794,,,0.8644497990608215,0.46647197008132935,,
,2.5447270110570804e-05,15795,,,,,,
45,,16145,,,,,0.819599986076355,0.5836669206619263
45,,16145,,,0.8645387887954712,0.4632367491722107,,
46,,16146,0.8224999904632568,0.5890316963195801,,,,
