epoch,lr-SGD,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,,,
0,,350,,,,,0.6244000196456909,1.7728981971740723
0,,350,,,0.3574830889701843,3.1002683639526367,,
,0.001,351,,,,,,
1,,701,,,,,0.7196000218391418,1.1307401657104492
1,,701,,,0.6799323558807373,1.4492098093032837,,
,0.001,702,,,,,,
2,,1052,,,,,0.7522000074386597,0.9292223453521729
2,,1052,,,0.7343527674674988,1.0728986263275146,,
,0.001,1053,,,,,,
3,,1403,,,,,0.7730000019073486,0.8312615156173706
3,,1403,,,0.7614182829856873,0.9147323966026306,,
,0.001,1404,,,,,,
4,,1754,,,,,0.7788000106811523,0.7757622003555298
4,,1754,,,0.7786681056022644,0.8232124447822571,,
,0.001,1755,,,,,,
5,,2105,,,,,0.7851999998092651,0.7342218160629272
5,,2105,,,0.7909767031669617,0.7644613981246948,,
,0.001,2106,,,,,,
6,,2456,,,,,0.7932000160217285,0.7088873982429504
6,,2456,,,0.7986111044883728,0.7225183844566345,,
,0.001,2457,,,,,,
7,,2807,,,,,0.7973999977111816,0.6842777132987976
7,,2807,,,0.8064236044883728,0.6885043978691101,,
,0.001,2808,,,,,,
8,,3158,,,,,0.7973999977111816,0.6703570485115051
8,,3158,,,0.8124777674674988,0.6623836159706116,,
,0.001,3159,,,,,,
9,,3509,,,,,0.7975999712944031,0.6590228080749512
9,,3509,,,0.8202457427978516,0.6348260641098022,,
,0.001,3510,,,,,,
10,,3860,,,,,0.801800012588501,0.6471858620643616
10,,3860,,,0.8227831125259399,0.6171870231628418,,
,0.001,3861,,,,,,
11,,4211,,,,,0.8083999752998352,0.6376582980155945
11,,4211,,,0.8282585740089417,0.5998286008834839,,
,0.001,4212,,,,,,
12,,4562,,,,,0.8076000213623047,0.6307189464569092
12,,4562,,,0.8318197727203369,0.584405779838562,,
,0.001,4563,,,,,,
13,,4913,,,,,0.8069999814033508,0.6243809461593628
13,,4913,,,0.8344907164573669,0.5724297165870667,,
,0.001,4914,,,,,,
14,,5264,,,,,0.8094000220298767,0.6201720237731934
14,,5264,,,0.8374732732772827,0.5599176287651062,,
,0.001,5265,,,,,,
15,,5615,,,,,0.8113999962806702,0.6164962649345398
15,,5615,,,0.8390980958938599,0.5509220361709595,,
,0.001,5616,,,,,,
16,,5966,,,,,0.8104000091552734,0.6105421781539917
16,,5966,,,0.8434829115867615,0.5408096313476562,,
,0.001,5967,,,,,,
17,,6317,,,,,0.8144000172615051,0.6052308082580566
17,,6317,,,0.8439725637435913,0.5310812592506409,,
,0.001,6318,,,,,,
18,,6668,,,,,0.8130000233650208,0.6037720441818237
18,,6668,,,0.8463987112045288,0.5218676924705505,,
,0.001,6669,,,,,,
19,,7019,,,,,0.8133999705314636,0.6017751693725586
19,,7019,,,0.84820157289505,0.5147265791893005,,
,0.001,7020,,,,,,
20,,7370,,,,,0.8184000253677368,0.5976350903511047
20,,7370,,,0.8530537486076355,0.5054212808609009,,
,0.001,7371,,,,,,
21,,7721,,,,,0.8137999773025513,0.5935133099555969
21,,7721,,,0.8533876538276672,0.4994623363018036,,
,0.001,7722,,,,,,
22,,8072,,,,,0.8180000185966492,0.5894273519515991
22,,8072,,,0.8555911779403687,0.49146807193756104,,
,0.001,8073,,,,,,
23,,8423,,,,,0.8185999989509583,0.5897753834724426
23,,8423,,,0.8569266200065613,0.487775593996048,,
,0.001,8424,,,,,,
24,,8774,,,,,0.8169999718666077,0.5909289121627808
24,,8774,,,0.8569934368133545,0.4822961986064911,,
,0.001,8775,,,,,,
25,,9125,,,,,0.817799985408783,0.5868311524391174
25,,9125,,,0.8591746687889099,0.4752957224845886,,
,0.001,9126,,,,,,
26,,9476,,,,,0.8212000131607056,0.583899974822998
26,,9476,,,0.8600649833679199,0.47300559282302856,,
,0.001,9477,,,,,,
27,,9827,,,,,0.8194000124931335,0.5846799612045288
27,,9827,,,0.8618456125259399,0.46494990587234497,,
,0.001,9828,,,,,,
28,,10178,,,,,0.8181999921798706,0.5850830078125
28,,10178,,,0.8639156222343445,0.46188801527023315,,
,0.001,10179,,,,,,
29,,10529,,,,,0.8173999786376953,0.5844416618347168
29,,10529,,,0.8634482026100159,0.45871084928512573,,
,0.0001,10530,,,,,,
30,,10880,,,,,0.821399986743927,0.5808099508285522
30,,10880,,,0.8697471618652344,0.4476621747016907,,
,0.0001,10881,,,,,,
31,,11231,,,,,0.8217999935150146,0.5800464153289795
31,,11231,,,0.8692129850387573,0.44477730989456177,,
,0.0001,11232,,,,,,
32,,11582,,,,,0.8209999799728394,0.5796492099761963
32,,11582,,,0.8706374764442444,0.4436332881450653,,
,0.0001,11583,,,,,,
33,,11933,,,,,0.8191999793052673,0.5799397230148315
33,,11933,,,0.8699474930763245,0.4429863691329956,,
,0.0001,11934,,,,,,
34,,12284,,,,,0.8203999996185303,0.579691469669342
34,,12284,,,0.8705039024353027,0.44322869181632996,,
,0.0001,12285,,,,,,
35,,12635,,,,,0.8212000131607056,0.5789448618888855
35,,12635,,,0.8692797422409058,0.44253039360046387,,
,0.0001,12636,,,,,,
36,,12986,,,,,0.8209999799728394,0.5791481733322144
36,,12986,,,0.870726466178894,0.44087350368499756,,
,0.0001,12987,,,,,,
37,,13337,,,,,0.8209999799728394,0.5788986682891846
37,,13337,,,0.8699474930763245,0.4415612816810608,,
,0.0001,13338,,,,,,
38,,13688,,,,,0.8199999928474426,0.5785502195358276
38,,13688,,,0.8698139190673828,0.44163939356803894,,
,0.0001,13689,,,,,,
39,,14039,,,,,0.8217999935150146,0.5785871148109436
39,,14039,,,0.8692352175712585,0.4421212077140808,,
,0.0001,14040,,,,,,
40,,14390,,,,,0.8212000131607056,0.5782623291015625
40,,14390,,,0.8687232732772827,0.44165274500846863,,
,0.0001,14391,,,,,,
41,,14741,,,,,0.8216000199317932,0.5784276127815247
41,,14741,,,0.8707932829856873,0.4412796199321747,,
42,,14742,0.8240000009536743,0.5813845992088318,,,,
