epoch,lr-SGD,step,train_acc,train_loss,val_acc,val_loss
,0.01,0,,,,
0,,2,,,0.009600000455975533,4.9315338134765625
0,,2,0.0026041667442768812,4.993907928466797,,
,0.009997533048548475,3,,,,
1,,5,,,0.029400000348687172,4.737512588500977
1,,5,0.02604166604578495,4.688266277313232,,
,0.009990134628777144,6,,,,
2,,8,,,0.050599999725818634,4.579694747924805
2,,8,0.1041666641831398,4.241919994354248,,
,0.0099778120420331,9,,,,
3,,11,,,0.09679999947547913,4.371903419494629
3,,11,0.1536458283662796,3.797584295272827,,
,0.009960577449221734,12,,,,
4,,14,,,0.16940000653266907,4.094564437866211
4,,14,0.2838541567325592,3.3729686737060547,,
,0.009938447858805393,15,,,,
5,,17,,,0.23499999940395355,3.7941300868988037
5,,17,0.4505208432674408,2.8841311931610107,,
,0.009911445110018081,18,,,,
6,,20,,,0.2897999882698059,3.511765241622925
6,,20,0.5885416865348816,2.359295606613159,,
,0.00987959585131277,21,,,,
7,,23,,,0.33180001378059387,3.2624521255493164
7,,23,0.6692708134651184,1.9606637954711914,,
,0.009842931514062592,24,,,,
8,,26,,,0.3617999851703644,3.0395591259002686
8,,26,0.7682291865348816,1.5662695169448853,,
,0.009801488281541879,27,,,,
9,,29,,,0.3903999924659729,2.8495523929595947
9,,29,0.8229166865348816,1.2739009857177734,,
,0.009755307053217623,30,,,,
10,,32,,,0.4124000072479248,2.6923768520355225
10,,32,0.8854166865348816,1.001332402229309,,
,0.009704433404386653,33,,,,
11,,35,,,0.4336000084877014,2.5505902767181396
11,,35,0.9322916865348816,0.7941514849662781,,
,0.009648917541198315,36,,,,
12,,38,,,0.44839999079704285,2.4354090690612793
12,,38,0.9375,0.6473599672317505,,
,0.009588814251107065,39,,,,
13,,41,,,0.4607999920845032,2.333782911300659
13,,41,0.9713541865348816,0.49312257766723633,,
,0.009524182848803867,42,,,,
14,,44,,,0.4690000116825104,2.25927996635437
14,,44,0.9713541865348816,0.40609610080718994,,
,0.009455087117679747,45,,,,
15,,47,,,0.4724000096321106,2.192089796066284
15,,47,0.9765625,0.32743915915489197,,
,0.009381595246879298,48,,,,
16,,50,,,0.47859999537467957,2.147289752960205
16,,50,1.0,0.23583702743053436,,
,0.00930377976400622,51,,,,
17,,53,,,0.4797999858856201,2.1257221698760986
17,,53,1.0,0.1905180662870407,,
,0.009221717463547328,54,,,,
18,,56,,,0.48260000348091125,2.1083483695983887
18,,56,1.0,0.1467125117778778,,
,0.009135489331085675,57,,,,
19,,59,,,0.48899999260902405,2.075794219970703
19,,59,0.9947916865348816,0.12163295596837997,,
,0.009045180463377553,60,,,,
20,,62,,,0.4968000054359436,2.0605618953704834
20,,62,0.9947916865348816,0.0994102731347084,,
,0.008950879984372268,63,,,,
21,,65,,,0.498199999332428,2.046576738357544
21,,65,1.0,0.08034354448318481,,
,0.008852680957257561,66,,,,
22,,68,,,0.4986000061035156,2.0535099506378174
22,,68,1.0,0.06421326100826263,,
,0.008750680292617486,69,,,,
23,,71,,,0.49459999799728394,2.0735766887664795
23,,71,1.0,0.05327216908335686,,
,0.00864497865279335,72,,,,
24,,74,,,0.49160000681877136,2.078176975250244
24,,74,1.0,0.04718463495373726,,
,0.008535680352542147,75,,,,
25,,77,,,0.49380001425743103,2.0812151432037354
25,,77,0.9973958134651184,0.04334862157702446,,
,0.008422893256090483,78,,,,
26,,80,,,0.4941999912261963,2.0770554542541504
26,,80,1.0,0.03891334682703018,,
,0.008306728670685602,81,,,,
27,,83,,,0.4975999891757965,2.0718038082122803
27,,83,1.0,0.03088044933974743,,
,0.008187301236748578,84,,,,
28,,86,,,0.4984000027179718,2.0720174312591553
28,,86,1.0,0.030670329928398132,,
,0.00806472881473806,87,,,,
29,,89,,,0.5016000270843506,2.0704004764556885
29,,89,1.0,0.027139857411384583,,
,0.007939132368836224,90,,,,
30,,92,,,0.5058000087738037,2.067723512649536
30,,92,1.0,0.02357076294720173,,
,0.007810635847571731,93,,,,
31,,95,,,0.504800021648407,2.0672168731689453
